# HƯỚNG DẪN ĐIỀN:
# category: Điều hòa | Laptop | Tủ lạnh | Thiết bị điện | Thói quen | Mẹo chung
# type: tip (mẹo tiết kiệm) | community (chia sẻ cộng đồng) | qa (hỏi đáp)
# image_url: link ảnh (có thể dùng ảnh Unsplash hoặc để trống)
# slug: đường dẫn URL (tự động tạo nếu để trống)
#
id,title,slug,description,category,type,image_url,author,date,readTime,likes,comments,savedCount,content
1,Ví dụ: 5 cách tiết kiệm điện mùa hè,vi-du-5-cach-tiet-kiem-dien,Mô tả ngắn 1-2 câu về bài viết...,Điều hòa,tip,https://images.unsplash.com/photo-1504280317859-f40dd2691fb7?w=800,Tên Tác Giả,12/05/2024,5 phút đọc,50,10,15,Nội dung bài viết đầy đủ viết ở đây...
2,,,,,,,,,,,,, 
3,,,,,,,,,,,,, 
4,,,,,,,,,,,,, 
5,,,,,,,,,,,,, 
6,,,,,,,,,,,,, 
7,,,,,,,,,,,,, 
8,,,,,,,,,,,,, 
9,,,,,,,,,,,,, 
10,,,,,,,,,,,,, 
11,,,,,,,,,,,,, 
12,,,,,,,,,,,,, 
13,,,,,,,,,,,,, 
14,,,,,,,,,,,,, 
15,,,,,,,,,,,,, 
16,,,,,,,,,,,,, 
17,,,,,,,,,,,,, 
18,,,,,,,,,,,,, 
19,,,,,,,,,,,,, 
20,,,,,,,,,,,,, 
21,,,,,,,,,,,,, 
22,,,,,,,,,,,,, 
23,,,,,,,,,,,,, 
24,,,,,,,,,,,,, 
25,,,,,,,,,,,,, 
26,,,,,,,,,,,,, 
27,,,,,,,,,,,,, 
28,,,,,,,,,,,,, 
29,,,,,,,,,,,,, 
30,,,,,,,,,,,,, 
31,,,,,,,,,,,,, 
32,,,,,,,,,,,,, 
33,,,,,,,,,,,,, 
34,,,,,,,,,,,,, 
35,,,,,,,,,,,,, 
36,,,,,,,,,,,,, 
37,,,,,,,,,,,,, 
38,,,,,,,,,,,,, 
39,,,,,,,,,,,,, 
40,,,,,,,,,,,,, 
41,,,,,,,,,,,,, 
42,,,,,,,,,,,,, 
43,,,,,,,,,,,,, 
44,,,,,,,,,,,,, 
45,,,,,,,,,,,,, 
46,,,,,,,,,,,,, 
47,,,,,,,,,,,,, 
48,,,,,,,,,,,,, 
49,,,,,,,,,,,,, 
50,,,,,,,,,,,,, 
51,,,,,,,,,,,,, 
52,,,,,,,,,,,,, 
53,,,,,,,,,,,,, 
54,,,,,,,,,,,,, 
55,,,,,,,,,,,,, 
